vessel,n,start_utc,end_utc,start_lat,start_lon,end_lat,end_lon
Pelican,1,27-Jun-2021 04:09:51,27-Jun-2021 06:10:30,28.9021,-91.7893,28.8279,-91.8096
Pelican,2,27-Jun-2021 06:14:28,27-Jun-2021 08:17:45,28.8259,-91.8102,28.8307,-91.7403
Pelican,3,27-Jun-2021 08:17:45,27-Jun-2021 09:36:52,28.8307,-91.7403,28.8982,-91.7873
Pelican,4,27-Jun-2021 09:37:32,27-Jun-2021 11:31:35,28.8987,-91.7877,28.8276,-91.8096
Pelican,5,27-Jun-2021 11:34:14,27-Jun-2021 12:59:17,28.8258,-91.8102,28.8300,-91.7439
Pelican,6,27-Jun-2021 13:02:34,27-Jun-2021 14:36:51,28.8309,-91.7420,28.8967,-91.7861
Pelican,7,27-Jun-2021 14:36:51,27-Jun-2021 16:23:40,28.8967,-91.7861,28.8277,-91.8096
Pelican,8,27-Jun-2021 16:26:18,27-Jun-2021 18:01:54,28.8261,-91.8103,28.8318,-91.7413
Pelican,9,27-Jun-2021 18:01:54,27-Jun-2021 19:08:29,28.8318,-91.7413,28.8520,-91.7914
Pelican,10,27-Jun-2021 19:08:29,27-Jun-2021 19:51:00,28.8520,-91.7914,28.8957,-91.7844
Pelican,11,27-Jun-2021 20:03:13,27-Jun-2021 21:52:00,28.8983,-91.7868,28.8258,-91.8107
Pelican,12,27-Jun-2021 21:52:00,27-Jun-2021 23:21:00,28.8258,-91.8107,28.8316,-91.7427
Pelican,13,27-Jun-2021 23:21:00,28-Jun-2021 01:01:53,28.8316,-91.7427,28.8973,-91.7861
Pelican,14,28-Jun-2021 01:05:10,28-Jun-2021 02:56:36,28.8990,-91.7877,28.8240,-91.8107
