vessel,n,start_utc,end_utc
Pelican,9,01-Jul-2021 20:48:16,01-Jul-2021 23:50:46
Pelican,10,01-Jul-2021 23:50:46,02-Jul-2021 01:05:39
Pelican,11,02-Jul-2021 01:22:31,02-Jul-2021 06:42:48
Pelican,12,02-Jul-2021 06:42:48,02-Jul-2021 11:48:13
Pelican,13,02-Jul-2021 11:48:13,02-Jul-2021 15:10:13
Pelican,14,02-Jul-2021 15:10:13,02-Jul-2021 18:49:52
Pelican,15,02-Jul-2021 18:49:52,02-Jul-2021 22:48:42
Pelican,16,02-Jul-2021 22:48:42,03-Jul-2021 02:41:57
Pelican,17,03-Jul-2021 02:41:57,03-Jul-2021 06:21:39
Pelican,18,03-Jul-2021 06:21:39,03-Jul-2021 09:58:07
Pelican,19,03-Jul-2021 09:58:07,03-Jul-2021 14:10:40
Pelican,20,03-Jul-2021 14:10:40,03-Jul-2021 18:17:38
Pelican,23,04-Jul-2021 05:42:50,04-Jul-2021 08:19:43
Pelican,24,04-Jul-2021 08:19:43,04-Jul-2021 10:46:19
Pelican,25,04-Jul-2021 10:46:19,04-Jul-2021 14:35:11
Pelican,26,04-Jul-2021 14:35:11,04-Jul-2021 17:46:09
Pelican,27,04-Jul-2021 17:46:09,04-Jul-2021 21:15:17
Pelican,28,04-Jul-2021 21:15:17,05-Jul-2021 01:22:22
Pelican,29,05-Jul-2021 01:22:22,05-Jul-2021 04:01:48
Pelican,30,05-Jul-2021 04:01:48,05-Jul-2021 07:11:51
Pelican,31,05-Jul-2021 07:11:51,05-Jul-2021 10:51:59
Pelican,32,05-Jul-2021 10:51:59,05-Jul-2021 14:57:07
Pelican,33,05-Jul-2021 14:57:07,05-Jul-2021 19:33:05
Pelican,34,05-Jul-2021 19:33:12,05-Jul-2021 23:31:24
Pelican,35,05-Jul-2021 23:35:27,06-Jul-2021 00:56:11
Pelican,36,06-Jul-2021 01:03:27,06-Jul-2021 04:09:10
Pelican,37,06-Jul-2021 04:13:06,06-Jul-2021 07:29:37
Pelican,38,06-Jul-2021 07:29:37,06-Jul-2021 11:03:26
Pelican,39,06-Jul-2021 11:03:26,06-Jul-2021 15:06:44
Pelican,40,06-Jul-2021 15:06:44,06-Jul-2021 19:02:08
Pelican,41,06-Jul-2021 19:02:08,06-Jul-2021 22:52:23
Pelican,42,06-Jul-2021 22:52:23,07-Jul-2021 03:55:17
Pelican,43,07-Jul-2021 03:55:17,07-Jul-2021 08:21:18
Pelican,44,07-Jul-2021 08:21:18,07-Jul-2021 13:17:08
Pelican,45,07-Jul-2021 13:17:08,07-Jul-2021 18:26:24
Pelican,46,07-Jul-2021 18:26:24,07-Jul-2021 23:39:46
Pelican,47,07-Jul-2021 23:39:46,08-Jul-2021 05:01:22
Pelican,48,08-Jul-2021 05:01:22,08-Jul-2021 10:14:17
